Researcher,Layer,Longitude/бу,Latitude/бу,Altitude/m,MAP/mm,MAT/буC,AI,pH,Sand/%,Silt/%,Clay/%,AGB/ (g m^-2),NPP/ (g C m^-2 yr^-1),NDVI,Coverage/%,SOCD/ (kg m^-2),STND/ (kg m^-2)
"Yang et al., 2008",Surface,92.9,31.84,4307,650.5,0.69,60.85126286,7.2,68.11,28.69,3.2,77.8,206,0.6153,NA,8.24,1.367045
"Yang et al., 2008",Surface,92.9,31.83,4330,650.5,0.69,60.85126286,7.13,68.42,28.41,3.17,86.8,203.5,0.6153,NA,10.27,1.388745
"Yang et al., 2008",Surface,92.87,31.83,4287,642.3,0.6,60.59433962,7.3,74.36,23.09,2.55,99.6,202.6,0.6158,NA,6.83,1.1529
"Yang et al., 2008",Surface,92.87,31.83,4286,642.3,0.6,60.59433962,7.3,78.02,19.81,2.17,101.2,202.6,0.6158,NA,8.43,1.1529
"Yang et al., 2008",Surface,92.87,31.83,4290,642.3,0.6,60.59433962,7.3,85.49,13.07,1.44,87.3,202.6,0.6158,NA,5.2,1.1529
"Yang et al., 2008",Surface,92.89,31.83,4316,642.3,0.6,60.59433962,7.3,67.78,28.91,3.31,81.3,210.2,0.6158,NA,10.41,1.423175
"Yang et al., 2008",Surface,92.9,31.83,4340,650.5,0.69,60.85126286,7.13,62.95,33.27,3.78,59.1,203.5,0.6153,NA,10.17,1.388745
"Yang et al., 2008",Surface,91.69,31.01,4758,577.3,1.74,49.17376491,7.2,80.67,17.01,2.32,75.7,119.8,0.4679,NA,5.51,1.059875
"Yang et al., 2008",Surface,91.69,31.09,4738,577.3,1.74,49.17376491,7.4,85.65,12.8,1.55,57.5,140.5,0.4797,NA,5.22,1.15081
"Yang et al., 2008",Surface,91.85,31.71,4646,573.6,0.16,56.45669291,7.3,69.98,26.02,4,57.7,178.7,0.6071,NA,8.29,1.191915
"Yang et al., 2008",Surface,91.87,33.22,4853,452.7,-2.02,56.72932331,7.7,69.64,27.3,3.06,42.8,47.6,0.2917,NA,6.23,0.78183
"Nie et al., 2019",Surface,102.38,36.72,3323,626.9,-0.02,62.81563126,6.83,32.9,44.9,22.17,NA,484.5,0.8183,NA,11.1397,0.47702
"Nie et al., 2019",Surface,101.99,37.4,3277,639.3,-1.42,74.51048951,7.73,30.1,46.83,23.07,NA,323,0.741,NA,13.88117,0.57528
"Nie et al., 2019",Surface,101.85,37.24,3031,647,-0.3,66.70103093,7.67,33.7,40.5,25.8,NA,411.2,0.7808,NA,17.12056,0.54108
"Nie et al., 2019",Surface,100.21,34.45,3857,686.1,-1.04,76.57366071,7.4,35.77,43.07,21.17,NA,284.8,0.7944,NA,14.00253,1.29376
"Nie et al., 2019",Surface,100.92,32.9,3824,884.5,0,88.45,6.83,37.37,45.47,17.17,NA,341.1,0.7716,NA,14.09248,0.74028
"Nie et al., 2019",Surface,100.66,32.89,3853,864.8,0.53,82.12725546,6.97,37.5,45.13,17.4,NA,315.4,0.7431,NA,8.92718,0.65988
"Nie et al., 2019",Surface,101.34,33.38,4115,912,-1.48,107.0422535,6.57,31.57,49.43,19,NA,342.8,0.7568,NA,19.71192,1.16145
"Nie et al., 2019",Surface,101.35,33.37,4109,921.8,-0.88,101.0745614,6.73,33.73,45.73,20.6,NA,309.5,0.799,NA,14.38809,0.86394
